"ANO","NIVEL","CODMUNRES","IDHM_A","IDHM_CA","IDHM_CA_M","IDHM_CA_F"
2015,"MUNICIPIO",3101003,NA,0.601,NA,NA
2015,"MUNICIPIO",4300109,NA,0.694,NA,NA
2015,"MUNICIPIO",3500709,NA,0.745,NA,NA
2015,"MUNICIPIO",4100301,NA,0.66,NA,NA
2015,"MUNICIPIO",3200136,NA,0.678,NA,NA
2015,"MUNICIPIO",2500205,NA,0.597,NA,NA
2015,"MUNICIPIO",1700301,NA,0.657,NA,NA
2015,"MUNICIPIO",3101102,NA,0.684,NA,NA
2015,"MUNICIPIO",2900603,NA,0.583,NA,NA
2015,"MUNICIPIO",2300408,NA,0.569,NA,NA
2015,"MUNICIPIO",3101201,NA,0.668,NA,NA
2015,"MUNICIPIO",4300208,NA,0.753,NA,NA
2015,"MUNICIPIO",3101300,NA,0.649,NA,NA
2015,"MUNICIPIO",2500304,NA,0.582,NA,NA
2015,"MUNICIPIO",2500403,NA,0.576,NA,NA
2015,"MUNICIPIO",2500502,NA,0.595,NA,NA
2015,"MUNICIPIO",2600609,NA,0.595,NA,NA
2015,"MUNICIPIO",2500502,NA,0.599,NA,NA
2015,"MUNICIPIO",2600609,NA,0.599,NA,NA
2015,"MUNICIPIO",2200251,NA,0.531,NA,NA
2015,"MUNICIPIO",2900702,NA,0.683,NA,NA
2015,"MUNICIPIO",3500758,NA,0.712,NA,NA
2015,"MUNICIPIO",3101409,NA,0.673,NA,NA
2015,"MUNICIPIO",2100204,NA,0.573,NA,NA
2015,"MUNICIPIO",2300507,NA,0.6,NA,NA
2015,"MUNICIPIO",2500536,NA,0.578,NA,NA
2015,"MUNICIPIO",5000252,NA,0.711,NA,NA
2015,"MUNICIPIO",2900801,NA,0.608,NA,NA
2015,"MUNICIPIO",2100303,NA,0.513,NA,NA
2015,"MUNICIPIO",4300307,NA,0.672,NA,NA
2015,"MUNICIPIO",3200201,NA,0.721,NA,NA
2015,"MUNICIPIO",4300406,NA,0.74,NA,NA
2015,"MUNICIPIO",2200277,NA,0.585,NA,NA
2015,"MUNICIPIO",4300455,NA,0.695,NA,NA
2015,"MUNICIPIO",3101508,NA,0.726,NA,NA
2015,"MUNICIPIO",1500404,NA,0.564,NA,NA
2015,"MUNICIPIO",2400505,NA,0.606,NA,NA
2015,"MUNICIPIO",5200308,NA,0.682,NA,NA
2015,"MUNICIPIO",3101607,NA,0.761,NA,NA
2015,"MUNICIPIO",3200300,NA,0.71,NA,NA
2015,"MUNICIPIO",3500808,NA,0.741,NA,NA
2015,"MUNICIPIO",3101631,NA,0.675,NA,NA
2015,"MUNICIPIO",4200705,NA,0.668,NA,NA
2015,"MUNICIPIO",2500577,NA,0.548,NA,NA
2015,"MUNICIPIO",2500601,NA,0.582,NA,NA
2015,"MUNICIPIO",2600708,NA,0.604,NA,NA
2015,"MUNICIPIO",1700350,NA,0.663,NA,NA
2015,"MUNICIPIO",2900900,NA,0.563,NA,NA
2015,"MUNICIPIO",1700400,NA,0.636,NA,NA
2015,"MUNICIPIO",1500503,NA,0.642,NA,NA
2015,"MUNICIPIO",3101706,NA,0.642,NA,NA
2015,"MUNICIPIO",2400604,NA,0.624,NA,NA
2015,"MUNICIPIO",4100400,NA,0.699,NA,NA
2015,"MUNICIPIO",4300471,NA,0.74,NA,NA
2015,"MUNICIPIO",5200506,NA,0.697,NA,NA
2015,"MUNICIPIO",3101805,NA,0.646,NA,NA
2015,"MUNICIPIO",4300505,NA,0.671,NA,NA
2015,"MUNICIPIO",3101904,NA,0.725,NA,NA
2015,"MUNICIPIO",5100250,NA,0.714,NA,NA
2015,"MUNICIPIO",1100015,NA,0.641,NA,NA
2015,"MUNICIPIO",3500907,NA,0.687,NA,NA
2015,"MUNICIPIO",1500602,NA,0.665,NA,NA
2015,"MUNICIPIO",2100402,NA,0.549,NA,NA
2015,"MUNICIPIO",4100459,NA,0.667,NA,NA
2015,"MUNICIPIO",2300606,NA,0.602,NA,NA
2015,"MUNICIPIO",3102001,NA,0.668,NA,NA
2015,"MUNICIPIO",2600807,NA,0.598,NA,NA
2015,"MUNICIPIO",3501004,NA,0.73,NA,NA
2015,"MUNICIPIO",1400050,NA,0.542,NA,NA
2015,"MUNICIPIO",3501103,NA,0.542,NA,NA
2015,"MUNICIPIO",4300554,NA,0.542,NA,NA
2015,"MUNICIPIO",1400050,NA,0.747,NA,NA
2015,"MUNICIPIO",3501103,NA,0.747,NA,NA
